Place,Team,Team Link
1,Toronto Raptors,http://www.espn.com/nba/team/_/name/tor/toronto-raptors
2,Milwaukee Bucks,http://www.espn.com/nba/team/_/name/mil/milwaukee-bucks
3,Denver Nuggets,http://www.espn.com/nba/team/_/name/den/denver-nuggets
4,Golden State Warriors,http://www.espn.com/nba/team/_/name/gs/golden-state-warriors
5,Indiana Pacers,http://www.espn.com/nba/team/_/name/ind/indiana-pacers
6,Philadelphia 76ers,http://www.espn.com/nba/team/_/name/phi/philadelphia-76ers
7,Oklahoma City Thunder,http://www.espn.com/nba/team/_/name/okc/oklahoma-city-thunder
8,Portland Trail Blazers,http://www.espn.com/nba/team/_/name/por/portland-trail-blazers
9,Boston Celtics,http://www.espn.com/nba/team/_/name/bos/boston-celtics
10,Houston Rockets,http://www.espn.com/nba/team/_/name/hou/houston-rockets
11,LA Clippers,http://www.espn.com/nba/team/_/name/lac/la-clippers
12,San Antonio Spurs,http://www.espn.com/nba/team/_/name/sa/san-antonio-spurs
13,Los Angeles Lakers,http://www.espn.com/nba/team/_/name/lal/los-angeles-lakers
14,Utah Jazz,http://www.espn.com/nba/team/_/name/utah/utah-jazz
15,Miami Heat,http://www.espn.com/nba/team/_/name/mia/miami-heat
16,Sacramento Kings,http://www.espn.com/nba/team/_/name/sac/sacramento-kings
17,Minnesota Timberwolves,http://www.espn.com/nba/team/_/name/min/minnesota-timberwolves
18,Brooklyn Nets,http://www.espn.com/nba/team/_/name/bkn/brooklyn-nets
19,Dallas Mavericks,http://www.espn.com/nba/team/_/name/dal/dallas-mavericks
20,New Orleans Pelicans,http://www.espn.com/nba/team/_/name/no/new-orleans-pelicans
21,Charlotte Hornets,http://www.espn.com/nba/team/_/name/cha/charlotte-hornets
22,Memphis Grizzlies,http://www.espn.com/nba/team/_/name/mem/memphis-grizzlies
23,Detroit Pistons,http://www.espn.com/nba/team/_/name/det/detroit-pistons
24,Orlando Magic,http://www.espn.com/nba/team/_/name/orl/orlando-magic
25,Washington Wizards,http://www.espn.com/nba/team/_/name/wsh/washington-wizards
26,Atlanta Hawks,http://www.espn.com/nba/team/_/name/atl/atlanta-hawks
27,Phoenix Suns,http://www.espn.com/nba/team/_/name/phx/phoenix-suns
28,New York Knicks,http://www.espn.com/nba/team/_/name/ny/new-york-knicks
29,Chicago Bulls,http://www.espn.com/nba/team/_/name/chi/chicago-bulls
30,Cleveland Cavaliers,http://www.espn.com/nba/team/_/name/cle/cleveland-cavaliers
